day,month,rain
fri,mar,0.0
tue,oct,0.0
fri,mar,0.2
sun,mar,0.0
sun,aug,0.0
mon,aug,0.0
mon,aug,0.0
tue,sep,0.0
sat,sep,0.0
sat,sep,0.0
sat,sep,0.0
fri,aug,0.0
mon,sep,0.0
wed,sep,0.0
fri,sep,0.0
sat,mar,0.0
mon,oct,0.0
wed,mar,0.0
sat,apr,0.0
tue,sep,0.0
mon,sep,0.0
sun,jun,0.0
sat,aug,0.0
sat,aug,0.0
sun,aug,0.0
fri,sep,0.0
mon,sep,0.0
sat,sep,0.0
sun,sep,0.0
fri,sep,0.0
mon,sep,0.0
fri,sep,0.0
sun,sep,0.0
mon,sep,0.0
tue,sep,0.0
tue,oct,0.0
fri,oct,0.0
sat,oct,0.0
tue,mar,0.0
tue,jul,0.0
sat,aug,0.0
tue,aug,0.0
sat,sep,0.0
wed,sep,0.0
wed,sep,0.0
mon,sep,0.0
mon,jul,0.0
mon,mar,0.0
mon,mar,0.0
thu,sep,0.0
sun,aug,0.0
wed,aug,0.0
wed,aug,0.0
thu,aug,0.0
thu,sep,0.0
tue,sep,0.0
sun,oct,0.0
mon,feb,0.0
fri,feb,0.0
sun,mar,0.0
sun,mar,0.0
thu,aug,0.0
sun,aug,0.0
mon,aug,0.0
thu,aug,0.0
fri,sep,0.0
fri,sep,0.0
fri,sep,0.0
fri,mar,0.0
fri,mar,0.0
fri,sep,0.0
fri,mar,0.0
tue,aug,0.0
fri,sep,0.0
thu,feb,0.0
fri,feb,0.0
mon,mar,0.0
fri,aug,0.0
tue,aug,0.0
sun,aug,0.0
sun,aug,0.0
tue,aug,0.0
wed,aug,0.0
thu,aug,0.0
thu,sep,0.0
thu,sep,0.0
thu,sep,0.0
sun,sep,0.0
sat,mar,0.0
sat,aug,0.0
fri,mar,0.0
sun,aug,0.0
sun,aug,0.0
mon,aug,0.0
sun,sep,0.0
sat,feb,0.0
sat,mar,0.0
sun,aug,0.0
sun,aug,0.0
sun,aug,0.0
tue,aug,0.0
tue,aug,0.0
sat,sep,0.0
sat,jan,0.0
fri,mar,0.0
thu,mar,0.0
sun,aug,0.0
sat,sep,0.0
mon,sep,0.0
fri,mar,0.0
fri,mar,0.0
sun,sep,0.0
mon,sep,0.0
tue,mar,0.0
tue,mar,0.0
sat,mar,0.0
sat,mar,0.0
mon,mar,0.0
thu,aug,0.0
mon,aug,0.0
mon,aug,0.0
sun,sep,0.0
tue,sep,0.0
fri,sep,0.0
sun,oct,0.0
mon,mar,0.0
fri,sep,0.0
wed,oct,0.0
sun,oct,0.0
sat,feb,0.0
mon,mar,0.0
sun,mar,0.0
thu,sep,0.0
tue,mar,0.0
sat,aug,0.0
